item,price,quantity,total,link
Speaker 20W 4Ohm - 100x36mm,17.00,1,17.00,https://grobotronics.com/speaker-20w-4ohm-100x36mm.html
Laser Module 650nm 5mw - Point Type,3.90,1,3.90,https://grobotronics.com/laser-module-650nm-5mw-point-type.html
Laser Module 650nm 5mw - Line Type,3.90,1,3.90,https://grobotronics.com/laser-module-650nm-5mw-line-type.html
Stereo Digital Audio Amplifier Module 2X30W - TPA3110 With Heatsink,4.80,1,4.80,https://grobotronics.com/stereo-digital-audio-amplifier-module-2x30w-tpa3110-with-heatsink.html
Plastic Hinge for 20x20 Aluminum Extrusion,0.80,1,0.80,https://grobotronics.com/plastic-hinge-for-20x20-aluminum-extrusion.html
Universal L Bracket - Double Black,0.80,2,1.60,https://grobotronics.com/universal-l-bracket-double-black.html
Rocker switch ON-OFF Black,0.50,1,0.50,https://grobotronics.com/rocker-switch-on-off.html
Screw Terminal 2P 5mm,0.20,3,0.60,https://grobotronics.com/screw-terminal-2p-5mm.html
Screw Terminal 3P 2.54mm,0.40,1,0.40,https://grobotronics.com/screw-terminal-3p-2.54mm.html
Electrolytic Capacitor 100V 470uF,1.40,2,2.80,https://grobotronics.com/electrolytic-capacitor-100v-470uf.html
Capacitor Tantalum 0.1uF 35V,0.20,2,0.40,https://grobotronics.com/capacitor-tantalum-0.1uf-35v.html
Heatshrink 3.2/1.6mm Yellow - 1m,0.30,1,0.30,https://grobotronics.com/heatshrink-3-2-1-6mm-yellow-1m.html
Wire Stranded 22AWG - Super Flexible,0.25,3,0.75,https://grobotronics.com/wire-stranded-22awg-super-flexible.html
Prototyping Board 70x90mm,1.50,1,1.50,https://grobotronics.com/70x90mm.html
Τροφοδοτικό 12V 3A - Output 5.5x2.1 SN-12D300,8.80,1,8.80,https://grobotronics.com/power-supply-12v-3a-output-5.5x2.1-sn-12d300.html
Audio Jack to Jack3.5mm 1.5m,1.40,1,1.40,https://grobotronics.com/jack-jack-3.5mm-stereo-1.5m.html
Bolt Μ5 - DIN912 Stainless,0.25,4,1.00,https://grobotronics.com/bolt-5-din912-stainless.html?variation_id=11943
Bolt M5 - L16mm DIN7991 Stainless,0.15,10,1.50,https://grobotronics.com/bolt-m5-16mm-countersunk-hex-stainless.html
Nut M5 Metal H4mm,0.03,20,0.60,https://grobotronics.com/m5mm-h4mm.html
Washer M5 Stainless Steel A4 - 100 Pcs.,1.80,1,1.80,https://grobotronics.com/washer-m5-stainless-steel-100-pcs.html
DC-DC Converter Step-Down 1.8-12V 2A - MP2315,1.90,1,1.90,https://grobotronics.com/dc-dc-converter-step-down-1.8-12v-2a-mp2315.html
Screw Terminal 4P 2.54mm,0.50,1,0.50,https://grobotronics.com/screw-terminal-4p-2.54mm.html
O-ring NBR Assortment Kit Black - 225pcs,5.00,1,5.00,https://grobotronics.com/o-ring-nbr-assortment-kit-black-225pcs-el.html

Ράβδος Στρογγυλή Ξύλινη 5mm,0.89,1,0.89,https://www.plaisio.gr/product/zografiki-hobby/maketa/mpalsa-fellos/ravdos-stroggili-ksilini-5mm_1988565
Φύλλο Balsa 10x100cm 8mm,7.99,1,7.99,https://www.plaisio.gr/product/zografiki-hobby/maketa/mpalsa-fellos/fillo-balsa-10x100cm-8mm_1988743

Αυτοκόλλητα Ακρυλικά Καθρέφτες Στρογγυλοί - 7 τμχ.,1.99,1,1.99,https://www.e-jumbo.gr/diakosmisi-spitiou/kornizes-kathreptes-kai-diakosmisi-toichou/aftokollita-toichou-tapetsaries/aftokollitoi-akrylikoi-kathreftes-toichou/aftokollita-akrylika-kathreftes-strongyloi-7-tmch._269845/
Αυτοκόλλητα Ακρυλικά Καθρέφτες Καρδιές - 4 τμχ.,1.49,1,1.49,https://www.e-jumbo.gr/diakosmisi-spitiou/kornizes-kathreptes-kai-diakosmisi-toichou/aftokollita-toichou-tapetsaries/aftokollitoi-akrylikoi-kathreftes-toichou/aftokollita-akrylika-kathreftes-kardies-4-tmch._1378492/
Αυτοκόλλητα Ακρυλικά Καθρέφτες Πεταλούδες - 5 τμχ.,0.99,1,0.99,https://www.e-jumbo.gr/diakosmisi-spitiou/kornizes-kathreptes-kai-diakosmisi-toichou/aftokollita-toichou-tapetsaries/aftokollitoi-akrylikoi-kathreftes-toichou/aftokollita-akrylika-kathreftes-petaloudes-5-tmch._270173/

Q-Connect Κοπίδι με μεταλλική ενίσχυση 18mm,1.39,1,1.39,https://www.plaisio.gr/product/xartopoleio/promitheies-grafeiou/kopidia-epifaneies-kopis/q-connect-kopidi-me-metalliki-enisxisi-18mm_233471
Folia Κοπίδι Ακριβείας Μεταλλικό & 3 Αντ/κές Λάμες,2.19,1,2.19,https://www.plaisio.gr/product/xartopoleio/promitheies-grafeiou/kopidia-epifaneies-kopis/folia-kopidi-akriveias-metalliko-and-3-ant-kes-lames_4372026
Hot Melt Glue Gun 40W – ZD-6C,6.80,1,6.80,https://grobotronics.com/hot-melt-glue-gun-40w-zd-6c.html
Hot Glue Stick 20cm Φ11 White,0.40,1,0.40,https://grobotronics.com/rabdos-thermokollas-20cm-f11-leyko.html
