theta,phi,laser_speaker_distance,mirror_speaker_distance,mirror_height,delta_min,delta_max,coverage_min,coverage_max,min_mirror_length_1_max,min_mirror_length_2_max,max_opening_distance_min,delta_diff,coverage_diff
19.13,54.57,19.6,15.85,12.3,0.45,1.35,5.29,6.89,13.4,15.17,473.68,0.9,1.6
19.6,54.8,19.1,15.45,12.3,0.45,1.35,5.28,6.87,13.3,15.1,472.71,0.9,1.59
20.08,55.04,18.6,15.04,12.3,0.45,1.35,5.26,6.85,13.2,15.04,471.69,0.9,1.59
19.13,54.57,19.6,14.41,11.8,0.45,1.35,4.81,6.39,12.18,13.79,452.99,0.9,1.58
20.59,55.3,18.1,14.64,12.3,0.45,1.35,5.24,6.82,13.1,14.97,470.63,0.9,1.58
19.13,54.57,19.6,12.97,11.3,0.45,1.35,4.33,5.9,10.96,12.41,432.3,0.9,1.57
19.6,54.8,19.1,14.04,11.8,0.45,1.35,4.8,6.37,12.09,13.73,452.11,0.9,1.57
22.28,56.14,16.6,13.43,12.3,0.45,1.35,5.17,6.74,12.76,14.73,467.1,0.9,1.57
21.12,55.56,17.6,14.24,12.3,0.45,1.35,5.22,6.79,12.99,14.89,469.51,0.9,1.57
20.59,55.3,18.1,13.31,11.8,0.45,1.35,4.76,6.33,11.91,13.6,450.22,0.9,1.57
21.69,55.84,17.1,13.83,12.3,0.45,1.35,5.19,6.76,12.88,14.81,468.34,0.9,1.57
20.08,55.04,18.6,13.68,11.8,0.45,1.35,4.78,6.35,12.0,13.67,451.18,0.9,1.57
20.08,55.04,18.6,12.31,11.3,0.45,1.35,4.3,5.86,10.8,12.3,430.68,0.9,1.56
21.69,55.84,17.1,12.57,11.8,0.45,1.35,4.72,6.28,11.71,13.47,448.14,0.9,1.56
21.12,55.56,17.6,12.94,11.8,0.45,1.35,4.74,6.3,11.81,13.54,449.2,0.9,1.56
19.6,54.8,19.1,12.64,11.3,0.45,1.35,4.32,5.88,10.88,12.36,431.51,0.9,1.56
19.13,54.57,19.6,11.53,10.8,0.45,1.35,3.85,5.4,9.74,11.03,411.62,0.9,1.55
22.28,56.14,16.6,12.21,11.8,0.45,1.35,4.7,6.25,11.6,13.39,447.01,0.9,1.55
22.9,56.45,16.1,13.02,12.3,0.45,1.35,5.15,6.7,12.64,14.64,465.8,0.9,1.55
23.55,56.78,15.6,12.62,12.3,0.45,1.35,5.12,6.67,12.51,14.55,464.41,0.9,1.55
20.59,55.3,18.1,11.98,11.3,0.45,1.35,4.29,5.84,10.72,12.24,429.81,0.9,1.55
20.08,55.04,18.6,10.94,10.8,0.45,1.35,3.82,5.36,9.6,10.94,410.17,0.9,1.54
25.75,57.87,14.1,11.4,12.3,0.45,1.35,5.02,6.56,12.09,14.24,459.7,0.9,1.54
19.6,54.8,19.1,11.24,10.8,0.45,1.35,3.84,5.38,9.67,10.98,410.91,0.9,1.54
24.97,57.49,14.6,11.81,12.3,0.45,1.35,5.06,6.6,12.24,14.35,461.38,0.9,1.54
24.24,57.12,15.1,12.21,12.3,0.45,1.35,5.09,6.63,12.38,14.45,462.94,0.9,1.54
22.9,56.45,16.1,11.84,11.8,0.45,1.35,4.68,6.22,11.49,13.31,445.82,0.9,1.54
21.12,55.56,17.6,11.65,11.3,0.45,1.35,4.27,5.81,10.63,12.18,428.89,0.9,1.54
21.69,55.84,17.1,11.32,11.3,0.45,1.35,4.25,5.79,10.54,12.12,427.93,0.9,1.54
23.55,56.78,15.6,11.47,11.8,0.45,1.35,4.65,6.19,11.38,13.23,444.57,0.9,1.54
22.28,56.14,16.6,10.99,11.3,0.45,1.35,4.23,5.77,10.44,12.05,426.92,0.9,1.54
24.24,57.12,15.1,11.1,11.8,0.45,1.35,4.63,6.16,11.25,13.14,443.23,0.9,1.53
22.9,56.45,16.1,10.65,11.3,0.45,1.35,4.21,5.74,10.34,11.98,425.85,0.9,1.53
25.75,57.87,14.1,10.37,11.8,0.45,1.35,4.56,6.09,10.99,12.94,440.29,0.9,1.53
21.12,55.56,17.6,10.35,10.8,0.45,1.35,3.79,5.32,9.45,10.83,408.58,0.9,1.53
19.13,54.57,19.6,10.09,10.3,0.45,1.35,3.37,4.9,8.52,9.65,390.93,0.9,1.53
20.59,55.3,18.1,10.65,10.8,0.45,1.35,3.81,5.34,9.53,10.88,409.4,0.9,1.53
27.43,58.72,13.1,10.6,12.3,0.45,1.35,4.94,6.47,11.77,13.99,455.99,0.9,1.53
26.57,58.28,13.6,11.0,12.3,0.45,1.35,4.98,6.51,11.94,14.12,457.91,0.9,1.53
22.28,56.14,16.6,9.76,10.8,0.45,1.35,3.76,5.28,9.28,10.71,406.83,0.9,1.52
24.97,57.49,14.6,10.74,11.8,0.45,1.35,4.6,6.12,11.13,13.04,441.81,0.9,1.52
20.08,55.04,18.6,9.57,10.3,0.45,1.35,3.35,4.87,8.4,9.57,389.66,0.9,1.52
21.69,55.84,17.1,10.06,10.8,0.45,1.35,3.78,5.3,9.37,10.77,407.73,0.9,1.52
19.6,54.8,19.1,9.83,10.3,0.45,1.35,3.36,4.88,8.46,9.61,390.31,0.9,1.52
23.55,56.78,15.6,10.32,11.3,0.45,1.35,4.19,5.71,10.24,11.91,424.72,0.9,1.52
20.59,55.3,18.1,9.32,10.3,0.45,1.35,3.33,4.85,8.33,9.52,388.99,0.9,1.52
22.9,56.45,16.1,9.47,10.8,0.45,1.35,3.74,5.26,9.19,10.65,405.88,0.9,1.52
28.35,59.18,12.6,10.19,12.3,0.45,1.35,4.9,6.42,11.6,13.85,453.92,0.9,1.52
27.43,58.72,13.1,9.63,11.8,0.45,1.35,4.49,6.01,10.7,12.72,436.91,0.9,1.52
26.57,58.28,13.6,10.0,11.8,0.45,1.35,4.53,6.05,10.85,12.83,438.66,0.9,1.52
24.24,57.12,15.1,9.99,11.3,0.45,1.35,4.16,5.68,10.13,11.82,423.52,0.9,1.52
24.97,57.49,14.6,9.66,11.3,0.45,1.35,4.14,5.65,10.01,11.74,422.24,0.9,1.51
29.34,59.67,12.1,9.79,12.3,0.45,1.35,4.85,6.36,11.42,13.7,451.68,0.9,1.51
19.13,54.57,19.6,8.65,9.8,0.45,1.35,2.89,4.4,7.31,8.27,370.24,0.9,1.51
23.55,56.78,15.6,9.18,10.8,0.45,1.35,3.72,5.23,9.1,10.58,404.88,0.9,1.51
21.12,55.56,17.6,9.06,10.3,0.45,1.35,3.32,4.83,8.27,9.48,388.28,0.9,1.51
21.69,55.84,17.1,8.8,10.3,0.45,1.35,3.31,4.82,8.2,9.43,387.53,0.9,1.51
22.9,56.45,16.1,8.29,10.3,0.45,1.35,3.27,4.78,8.04,9.32,385.91,0.9,1.51
24.24,57.12,15.1,8.88,10.8,0.45,1.35,3.7,5.21,9.0,10.51,403.81,0.9,1.51
27.43,58.72,13.1,8.67,11.3,0.45,1.35,4.04,5.55,9.63,11.45,417.83,0.9,1.51
28.35,59.18,12.6,9.26,11.8,0.45,1.35,4.45,5.96,10.55,12.59,435.03,0.9,1.51
25.75,57.87,14.1,9.33,11.3,0.45,1.35,4.11,5.62,9.89,11.65,420.87,0.9,1.51
22.28,56.14,16.6,8.54,10.3,0.45,1.35,3.29,4.8,8.12,9.37,386.74,0.9,1.51
19.6,54.8,19.1,8.43,9.8,0.45,1.35,2.88,4.39,7.25,8.24,369.71,0.9,1.51
25.75,57.87,14.1,8.29,10.8,0.45,1.35,3.65,5.15,8.79,10.35,401.45,0.9,1.5
20.59,55.3,18.1,7.99,9.8,0.45,1.35,2.86,4.36,7.14,8.16,368.58,0.9,1.5
31.49,60.75,11.1,8.98,12.3,0.45,1.35,4.74,6.24,11.02,13.36,446.62,0.9,1.5
26.57,58.28,13.6,9.0,11.3,0.45,1.35,4.08,5.58,9.77,11.55,419.4,0.9,1.5
26.57,58.28,13.6,8.0,10.8,0.45,1.35,3.62,5.12,8.68,10.27,400.15,0.9,1.5
30.38,60.19,11.6,9.38,12.3,0.45,1.35,4.8,6.3,11.23,13.54,449.26,0.9,1.5
20.08,55.04,18.6,8.21,9.8,0.45,1.35,2.87,4.37,7.2,8.2,369.16,0.9,1.5
28.35,59.18,12.6,8.34,11.3,0.45,1.35,4.01,5.51,9.49,11.33,416.14,0.9,1.5
30.38,60.19,11.6,8.53,11.8,0.45,1.35,4.36,5.86,10.2,12.31,430.79,0.9,1.5
23.55,56.78,15.6,8.03,10.3,0.45,1.35,3.26,4.76,7.96,9.26,385.03,0.9,1.5
29.34,59.67,12.1,8.9,11.8,0.45,1.35,4.41,5.91,10.38,12.46,432.99,0.9,1.5
21.69,55.84,17.1,7.54,9.8,0.45,1.35,2.83,4.33,7.02,8.08,367.33,0.9,1.5
24.97,57.49,14.6,8.59,10.8,0.45,1.35,3.68,5.18,8.9,10.44,402.67,0.9,1.5
32.68,61.34,10.6,8.57,12.3,0.45,1.35,4.68,6.17,10.8,13.17,443.75,0.9,1.49
32.68,61.34,10.6,7.79,11.8,0.45,1.35,4.25,5.74,9.82,11.98,425.78,0.9,1.49
24.24,57.12,15.1,7.77,10.3,0.45,1.35,3.24,4.73,7.88,9.2,384.1,0.9,1.49
23.55,56.78,15.6,6.88,9.8,0.45,1.35,2.79,4.28,6.83,7.94,365.19,0.9,1.49
19.6,54.8,19.1,7.02,9.3,0.45,1.35,2.4,3.89,6.05,6.87,349.11,0.9,1.49
31.49,60.75,11.1,8.16,11.8,0.45,1.35,4.31,5.8,10.02,12.15,428.39,0.9,1.49
26.57,58.28,13.6,7.0,10.3,0.45,1.35,3.17,4.66,7.6,8.98,380.9,0.9,1.49
20.59,55.3,18.1,6.65,9.3,0.45,1.35,2.38,3.87,5.95,6.8,348.17,0.9,1.49
29.34,59.67,12.1,8.01,11.3,0.45,1.35,3.97,5.46,9.34,11.21,414.3,0.9,1.49
24.97,57.49,14.6,7.51,10.3,0.45,1.35,3.22,4.71,7.79,9.13,383.1,0.9,1.49
20.08,55.04,18.6,6.84,9.3,0.45,1.35,2.39,3.88,6.0,6.83,348.65,0.9,1.49
28.35,59.18,12.6,7.41,10.8,0.45,1.35,3.56,5.05,8.44,10.07,397.24,0.9,1.49
22.28,56.14,16.6,7.32,9.8,0.45,1.35,2.82,4.31,6.96,8.03,366.65,0.9,1.49
21.12,55.56,17.6,7.76,9.8,0.45,1.35,2.85,4.34,7.09,8.12,367.97,0.9,1.49
27.43,58.72,13.1,7.71,10.8,0.45,1.35,3.6,5.09,8.56,10.17,398.75,0.9,1.49
19.13,54.57,19.6,7.21,9.3,0.45,1.35,2.41,3.9,6.09,6.89,349.55,0.9,1.49
