Time(s),Frequency(Hz)
0.000000000000000000e+00,2.560000000000000000e+02
1.953125000000000000e-03,2.560000000000000000e+02
3.906250000000000000e-03,2.560000000000000000e+02
5.859375000000000000e-03,1.280000000000000000e+02
7.812500000000000000e-03,0.000000000000000000e+00
9.765625000000000000e-03,8.960000000000000000e+02
1.171875000000000000e-02,7.680000000000000000e+02
1.367187500000000000e-02,7.680000000000000000e+02
1.562500000000000000e-02,1.280000000000000000e+02
1.757812500000000000e-02,2.560000000000000000e+02
1.953125000000000000e-02,1.280000000000000000e+02
2.148437500000000000e-02,1.280000000000000000e+02
2.343750000000000000e-02,0.000000000000000000e+00
2.539062500000000000e-02,6.400000000000000000e+02
2.734375000000000000e-02,6.400000000000000000e+02
2.929687500000000000e-02,2.560000000000000000e+02
3.125000000000000000e-02,5.120000000000000000e+02
3.320312500000000000e-02,5.120000000000000000e+02
3.515625000000000000e-02,1.280000000000000000e+02
3.710937500000000000e-02,2.560000000000000000e+02
3.906250000000000000e-02,2.560000000000000000e+02
4.101562500000000000e-02,1.280000000000000000e+02
4.296875000000000000e-02,0.000000000000000000e+00
4.492187500000000000e-02,7.680000000000000000e+02
4.687500000000000000e-02,7.680000000000000000e+02
4.882812500000000000e-02,6.400000000000000000e+02
5.078125000000000000e-02,2.560000000000000000e+02
5.273437500000000000e-02,2.560000000000000000e+02
5.468750000000000000e-02,2.560000000000000000e+02
5.664062500000000000e-02,2.560000000000000000e+02
5.859375000000000000e-02,5.120000000000000000e+02
6.054687500000000000e-02,5.120000000000000000e+02
6.250000000000000000e-02,5.120000000000000000e+02
6.445312500000000000e-02,5.120000000000000000e+02
6.640625000000000000e-02,5.120000000000000000e+02
6.835937500000000000e-02,1.280000000000000000e+02
7.031250000000000000e-02,1.280000000000000000e+02
7.226562500000000000e-02,2.560000000000000000e+02
7.421875000000000000e-02,3.840000000000000000e+02
7.617187500000000000e-02,2.560000000000000000e+02
7.812500000000000000e-02,2.560000000000000000e+02
8.007812500000000000e-02,6.400000000000000000e+02
8.203125000000000000e-02,6.400000000000000000e+02
8.398437500000000000e-02,2.560000000000000000e+02
8.593750000000000000e-02,2.560000000000000000e+02
8.789062500000000000e-02,2.560000000000000000e+02
8.984375000000000000e-02,2.560000000000000000e+02
9.179687500000000000e-02,2.560000000000000000e+02
9.375000000000000000e-02,2.560000000000000000e+02
9.570312500000000000e-02,2.560000000000000000e+02
9.765625000000000000e-02,3.840000000000000000e+02
9.960937500000000000e-02,2.560000000000000000e+02
1.015625000000000000e-01,3.840000000000000000e+02
1.035156250000000000e-01,5.120000000000000000e+02
1.054687500000000000e-01,5.120000000000000000e+02
1.074218750000000000e-01,2.560000000000000000e+02
1.093750000000000000e-01,5.120000000000000000e+02
1.113281250000000000e-01,1.280000000000000000e+02
1.132812500000000000e-01,1.280000000000000000e+02
1.152343750000000000e-01,1.280000000000000000e+02
1.171875000000000000e-01,1.280000000000000000e+02
1.191406250000000000e-01,2.560000000000000000e+02
1.210937500000000000e-01,1.280000000000000000e+02
1.230468750000000000e-01,0.000000000000000000e+00
1.250000000000000000e-01,3.840000000000000000e+02
1.269531250000000000e-01,2.560000000000000000e+02
1.289062500000000000e-01,1.280000000000000000e+02
1.308593750000000000e-01,8.960000000000000000e+02
1.328125000000000000e-01,8.960000000000000000e+02
1.347656250000000000e-01,8.960000000000000000e+02
1.367187500000000000e-01,1.280000000000000000e+02
1.386718750000000000e-01,1.280000000000000000e+02
1.406250000000000000e-01,2.560000000000000000e+02
1.425781250000000000e-01,8.960000000000000000e+02
1.445312500000000000e-01,1.280000000000000000e+02
1.464843750000000000e-01,2.560000000000000000e+02
1.484375000000000000e-01,2.560000000000000000e+02
1.503906250000000000e-01,0.000000000000000000e+00
1.523437500000000000e-01,3.840000000000000000e+02
1.542968750000000000e-01,2.560000000000000000e+02
1.562500000000000000e-01,1.280000000000000000e+02
1.582031250000000000e-01,1.280000000000000000e+02
1.601562500000000000e-01,2.560000000000000000e+02
1.621093750000000000e-01,2.560000000000000000e+02
1.640625000000000000e-01,2.560000000000000000e+02
1.660156250000000000e-01,1.280000000000000000e+02
1.679687500000000000e-01,1.280000000000000000e+02
1.699218750000000000e-01,1.280000000000000000e+02
1.718750000000000000e-01,1.280000000000000000e+02
1.738281250000000000e-01,5.120000000000000000e+02
1.757812500000000000e-01,1.280000000000000000e+02
1.777343750000000000e-01,1.280000000000000000e+02
1.796875000000000000e-01,1.280000000000000000e+02
1.816406250000000000e-01,1.280000000000000000e+02
1.835937500000000000e-01,1.280000000000000000e+02
1.855468750000000000e-01,0.000000000000000000e+00
1.875000000000000000e-01,2.560000000000000000e+02
1.894531250000000000e-01,2.560000000000000000e+02
1.914062500000000000e-01,6.400000000000000000e+02
1.933593750000000000e-01,0.000000000000000000e+00
1.953125000000000000e-01,2.560000000000000000e+02
1.972656250000000000e-01,2.560000000000000000e+02
1.992187500000000000e-01,2.560000000000000000e+02
2.011718750000000000e-01,2.560000000000000000e+02
2.031250000000000000e-01,1.280000000000000000e+02
2.050781250000000000e-01,0.000000000000000000e+00
2.070312500000000000e-01,8.960000000000000000e+02
2.089843750000000000e-01,3.840000000000000000e+02
2.109375000000000000e-01,2.560000000000000000e+02
2.128906250000000000e-01,0.000000000000000000e+00
2.148437500000000000e-01,3.840000000000000000e+02
2.167968750000000000e-01,5.120000000000000000e+02
2.187500000000000000e-01,0.000000000000000000e+00
2.207031250000000000e-01,0.000000000000000000e+00
2.226562500000000000e-01,0.000000000000000000e+00
2.246093750000000000e-01,2.560000000000000000e+02
2.265625000000000000e-01,0.000000000000000000e+00
2.285156250000000000e-01,5.120000000000000000e+02
2.304687500000000000e-01,5.120000000000000000e+02
2.324218750000000000e-01,6.400000000000000000e+02
2.343750000000000000e-01,3.840000000000000000e+02
2.363281250000000000e-01,2.560000000000000000e+02
2.382812500000000000e-01,0.000000000000000000e+00
2.402343750000000000e-01,5.120000000000000000e+02
2.421875000000000000e-01,5.120000000000000000e+02
2.441406250000000000e-01,5.120000000000000000e+02
2.460937500000000000e-01,3.840000000000000000e+02
2.480468750000000000e-01,0.000000000000000000e+00
2.500000000000000000e-01,0.000000000000000000e+00
2.519531250000000000e-01,3.840000000000000000e+02
2.539062500000000000e-01,2.560000000000000000e+02
2.558593750000000000e-01,2.560000000000000000e+02
2.578125000000000000e-01,2.560000000000000000e+02
2.597656250000000000e-01,1.280000000000000000e+02
2.617187500000000000e-01,2.560000000000000000e+02
2.636718750000000000e-01,0.000000000000000000e+00
2.656250000000000000e-01,0.000000000000000000e+00
2.675781250000000000e-01,0.000000000000000000e+00
2.695312500000000000e-01,2.560000000000000000e+02
2.714843750000000000e-01,0.000000000000000000e+00
2.734375000000000000e-01,5.120000000000000000e+02
2.753906250000000000e-01,5.120000000000000000e+02
2.773437500000000000e-01,5.120000000000000000e+02
2.792968750000000000e-01,5.120000000000000000e+02
2.812500000000000000e-01,6.400000000000000000e+02
2.832031250000000000e-01,3.840000000000000000e+02
2.851562500000000000e-01,3.840000000000000000e+02
2.871093750000000000e-01,2.560000000000000000e+02
2.890625000000000000e-01,1.280000000000000000e+02
2.910156250000000000e-01,2.560000000000000000e+02
2.929687500000000000e-01,2.560000000000000000e+02
2.949218750000000000e-01,2.560000000000000000e+02
2.968750000000000000e-01,2.560000000000000000e+02
2.988281250000000000e-01,2.560000000000000000e+02
3.007812500000000000e-01,2.560000000000000000e+02
3.027343750000000000e-01,2.560000000000000000e+02
3.046875000000000000e-01,2.560000000000000000e+02
3.066406250000000000e-01,0.000000000000000000e+00
3.085937500000000000e-01,0.000000000000000000e+00
3.105468750000000000e-01,7.680000000000000000e+02
3.125000000000000000e-01,0.000000000000000000e+00
3.144531250000000000e-01,0.000000000000000000e+00
3.164062500000000000e-01,2.560000000000000000e+02
3.183593750000000000e-01,0.000000000000000000e+00
3.203125000000000000e-01,0.000000000000000000e+00
3.222656250000000000e-01,2.560000000000000000e+02
3.242187500000000000e-01,3.840000000000000000e+02
3.261718750000000000e-01,1.280000000000000000e+02
3.281250000000000000e-01,2.560000000000000000e+02
3.300781250000000000e-01,2.560000000000000000e+02
3.320312500000000000e-01,1.280000000000000000e+02
3.339843750000000000e-01,1.280000000000000000e+02
3.359375000000000000e-01,2.560000000000000000e+02
3.378906250000000000e-01,6.400000000000000000e+02
3.398437500000000000e-01,0.000000000000000000e+00
3.417968750000000000e-01,2.560000000000000000e+02
3.437500000000000000e-01,1.280000000000000000e+02
3.457031250000000000e-01,1.280000000000000000e+02
3.476562500000000000e-01,1.280000000000000000e+02
